City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
67,Saint-Pierre,RE,68.0,-21.34,55.48,Lindsey Hôtel
71,Santa Helena De Goias,BR,82.8,-17.81,-50.6,Hotel Pacheco
72,Kokoda,PG,74.32,-8.88,147.74,Daito Guest House
73,Kapaa,US,80.01,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
76,Lebu,CL,58.39,-37.62,-73.65,Hostal Las Lilas
81,Tautira,PF,82.4,-17.73,-149.15,Pension Oaoa
82,Kahului,US,78.8,20.89,-156.47,Maui Seaside Hotel
83,Maralal,KE,59.52,1.1,36.7,Ngari Hill Ecolodge
85,Port Alfred,ZA,58.98,-33.59,26.89,The Halyards Hotel
86,Terme,TR,62.6,41.21,36.97,OTEL GÜVEN TERME
91,Babol,IR,59.0,36.55,52.68,Reza Hotel
92,Vila Velha,BR,78.8,-20.33,-40.29,Hotel Vitória Palace
93,Vao,NC,73.31,-22.67,167.48,Hotel Kou-Bugny
94,Cockburn Town,TC,86.0,21.46,-71.14,Osprey Beach Hotel
95,Viedma,AR,80.01,-40.81,-63.0,Hotel Cristal
96,Cap Malheureux,MU,66.99,-19.98,57.61,Pereybere Hotel & Spa
97,Te Anau,NZ,53.49,-45.42,167.72,Kingsgate Hotel Te Anau
98,Northam,GB,57.99,51.03,-4.22,Durrant House Hotel
100,Portland,US,57.0,45.52,-122.68,The Bidwell Marriott Portland
101,Airai,TL,59.67,-8.93,125.41,Juvinal Martin
102,Bubaque,GW,84.9,11.28,-15.83,"Casa Dora, Bubaque"
103,Kaitangata,NZ,57.99,-46.28,169.85,Kaitangata Motor Camp
105,Lucea,JM,87.01,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
106,Cayenne,GF,87.8,4.93,-52.33,Hôtel Le Dronmi
107,Saint-Philippe,RE,68.0,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
108,Karaton,ID,81.0,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
109,Hithadhoo,MV,82.94,-0.6,73.08,Scoop Guest House
110,Lata,PT,61.0,40.16,-8.33,Casa Maquia
111,Caravelas,BR,78.87,-17.71,-39.25,Pousada dos Navegantes
112,Tiarei,PF,82.4,-17.53,-149.33,Le Rocher de Tahiti
114,San Patricio,US,72.0,28.02,-97.52,"Motel 6 Sinton, TX"
117,Ferrol,ES,60.8,43.48,-8.24,Carrís Almirante
118,Hilo,US,82.4,19.73,-155.09,Hilo Hawaiian Hotel
119,Udalguri,IN,70.41,26.77,92.13,"Army Camp, Golandi"
120,Am Timan,TD,81.75,11.03,20.28,Palais du chef Canton Salamt
121,Kinsale,IE,52.0,51.71,-8.53,Actons Hotel Kinsale
122,Pemangkat,ID,77.61,1.17,108.97,Kost H.Syamsuddin
123,Magaria,NE,83.73,13.0,8.91,Chez Honorable Chapiou
124,San Francisco,US,68.0,37.77,-122.42,The Clift Royal Sonesta Hotel
126,Puerto Ayora,EC,82.4,-0.74,-90.35,Finch Bay Galapagos Hotel
127,Cape Town,ZA,59.0,-33.93,18.42,Southern Sun Waterfront Cape Town
129,Nalut,LY,60.26,30.33,10.85,
130,Dubti,ET,83.21,11.74,41.09,
